This list contains all games supported by FinalBurn Neo.

12109 games supported in total; X = excluded from build; D = included in debug build only; NW = not working

  name		  status  full name						  parent	  year	  company	  hardware	  remarks
+---------------+-------+-------------------------------------------------------+---------------+-------+---------------+---------------+---------------------------------------+
| 1943b2	|  	| 1943: The Battle of Midway (bootleg set 2, hack of Jap| 1943		| 1987	| bootleg	| Miscellaneous	| 					|
| 1943		|  	| 1943: The Battle of Midway (Euro)			| 		| 1987	| Capcom	| Miscellaneous	| 					|
| 1943ua	|  	| 1943: The Battle of Midway (US)			| 1943		| 1987	| Capcom	| Miscellaneous	| 					|
| 1943u		|  	| 1943: The Battle of Midway (US, Rev C)		| 1943		| 1987	| Capcom	| Miscellaneous	| 					|
| 1943mii	|  	| 1943: The Battle of Midway Mark II (US)		| 		| 1988	| Capcom	| Miscellaneous	| 					|
| 1944j		|  	| 1944 - the loop master (000620 Japan)			| 1944		| 2000	| Capcom / 8ing | CPS2		| 					|
| 1944d		|  	| 1944 - the loop master (000620 USA Phoenix Edition)	| 1944		| 2000	| bootleg	| CPS2		| 					|
| 1944ad	|  	| 1944 - the loop master (000620 USA Phoenix Edition, al| 1944		| 2000	| bootleg	| CPS2		| 					|
| 1944		|  	| 1944 - the loop master (000620 USA)			| 		| 2000	| Capcom / 8ing | CPS2		| 					|
| bgareggabl	|  	| 1945 Part 2 (Chinese hack of Battle Garegga)		| bgaregga	| 1996	| hack		| Toaplan GP9001| 					|
| 1945kiiin	|  	| 1945k III (newer, OPCX1 PCB)				| 1945kiii	| 2000	| Oriental Soft	| Miscellaneous	| 					|
| 1945kiii	|  	| 1945k III (newer, OPCX2 PCB)				| 		| 2000	| Oriental Soft	| Miscellaneous	| 					|
| 1945kiiio	|  	| 1945k III (older, OPCX1 PCB)				| 1945kiii	| 1999	| Oriental Soft	| Miscellaneous	| 					|
| 19xxar1	|  	| 19XX - the war against destiny (951207 Asia)		| 19xx		| 1995	| Capcom	| CPS2		| 					|
